Lot cor	Sanq min	Bro ere	Bra pin	Veron teu	Pla med	Cen jac	Sta rec	Astrag gly	Tan cor	Med fal	Leo his	Anth vul	Cen sca	Astrag cic	Sca och	Thy pul	Sal pra	Sal vertc	Agrim eup	Pru gra	L f	Asper tin	Bup fal	Inu hir	Asper cyn	Cx tom	L t	Teu cha	Cam glo	Cor var	Inu sal	Cam Gent	Cirsi pan	Tri mon	Pri ver	Tri med	Hel gra	Cx fla 
40.51	27.64	2.025	1.44	1.649	11.593	1.395	4.535	0.24	0.842	3.98	0.22	4.523	0.732	0	0.565	0.625	0.439	0	0	0	0.005	0	0	0	0	0	0.011	1.845	0	0	0.325	0.041	0	0	0	0	0	0
0	0.463	0.011	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11.859	8.346	0.938	0.181	0.05	9.675	0.359	0.35	0.53	0.352	0	0.475	0.474	1.56	0	0	0	0	3.74	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0.963	0	0	0.538	0	0
0.068	0.048	0.068	0.007	0	0	0.007	0	0	0	0	0	0.47	0	0	0	0	0	0	0	0	0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.308	6.11	4.314	1.538	0.209	11.39	5.395	4.039	0	4.449	8.16	0.656	5.641	9.556	0	1.06	0.525	0	5.878	0	0	0.016	0	0	0	0.01	0	0	0	0	0	0	0.004	0	0	0	0	0	0
0.356	0.044	0.054	0.04	0	0	0.063	0	0	0	0	0	0.556	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29.282	15.398	2.914	2.996	0.998	25.08	0	7.733	0.52	2.19	0.508	1.03	2.583	4.56	0.047	0.268	1.102	0.55	2.068	0.017	0.258	0.02	0	0.08	0.04	0.055	0	0	0.716	0	0	0.01	0.014	0.041	0	0	0	0	0
0.302	0.465	0.04	0.007	0	0	0.043	0	0	0	0.006	0	0.3	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0.011	0	0	0	0	0	0	0	0	0	0	0
20.354	4.042	1.419	1.914	0.753	7.1	7.09	4.848	0.985	4.252	0.015	1.42	4.206	6.324	0	1.088	0.51	0	7.703	0	0	0.07	0.022	0.045	0.153	0.006	0	0.013	0.161	0	0	0.063	0	0	0	0	0	0	0
0.046	0.026	0.008	0.006	0	0	0	0	0	0	0	0	0.486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29.115	4.723	0.728	0.709	0.262	0.688	4.555	1.404	0.514	1.46	0.678	0.59	0.975	0.48	0	0.241	0.101	0.74	1.2	0.13	0.035	0	0	0.014	0	0.013	0.333	0	0.17	0	0	0	0	0.036	0	0	0	0.048	0
0.09	0.006	0.02	0.004	0	0	0	0	0	0	0	0	0.573	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33.752	4.855	1.145	1.176	0.849	12.025	13.021	9.594	0.376	3.598	0.019	0.858	2.467	0	0	0.3	0.42	4.68	9.253	0.05	0	0.02	0	0.093	0.02	0.045	0	0	0.116	0	0	0	0	0	0.01	0	0.016	0.031	0
0.203	0.29	0.008	0.004	0	0	0	0	0	0	0.013	0	0.209	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29.307	4.44	3.093	2.612	0.35	4.173	6.253	11.427	0.318	3.964	0	0	1.787	7.597	0.37	0.045	0.248	4.827	1.083	0	0	0	0	0	0	0	0	0	0.275	0	0	0	0	0	0	0	0	0.201	0
0.331	0.525	0.02	0.004	0	0	0.09	0.008	0	0	0	0	1.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31.02	0.68	1.515	1.407	0.46	0.382	4.728	3.706	0.567	1.367	3.52	1.68	5.674	2.213	0	0.585	0.29	2.537	3.264	0.042	0	0.026	0	0	0.044	0.026	0	0.002	0.133	0	0	0.184	0.006	0	0	0	0	0.048	0
0.287	0.568	0.038	0.002	0	0	0	0	0	0	0	0	0.484	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55.542	2.985	0.85	2.172	1.532	4.738	0	7.565	1.632	3.991	0.791	1.71	2.25	15.978	0.457	0.783	0.699	4.21	14.881	0.1	0	0.011	0	0	0	0.02	0	0.017	0.985	0	0	0.26	0.008	0	0	0	0	0.026	0
0.186	0.283	0.045	0.012	0	0	0.02	0.016	0	0	0	0	0.584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38.71	13.046	4.508	2.473	1.059	4.5	22.337	6.843	0.163	6.484	0.39	1.885	4.38	13.174	0.071	2.842	0.305	6.69	0	0.07	0.011	0.006	0	0.011	0.253	0	0	0.015	0.34	0.009	0	0	0	0	0	0	0.068	0.049	0
0.209	0.62	0.028	0.02	0	0	0.045	0.014	0	0	0	0.015	1.352	0.023	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0
17.305	14.152	2.858	1.445	0.364	18.832	14.164	6.656	0.445	2.882	0.472	1.225	3.096	8.275	0.87	0.38	0.484	7.595	19.005	0	0	0	0	0	0	0	0	0	0.711	0	0	0.062	0.015	0	0	0	0	0	0
